timestamp,ist_datetime,ltp,chp,volume,oi,oipercent,totalbuyqty,totalsellqty,bid_price_1,bid_qty_1,bid_orders_1,bid_price_2,bid_qty_2,bid_orders_2,bid_price_3,bid_qty_3,bid_orders_3,bid_price_4,bid_qty_4,bid_orders_4,bid_price_5,bid_qty_5,bid_orders_5,ask_price_1,ask_qty_1,ask_orders_1,ask_price_2,ask_qty_2,ask_orders_2,ask_price_3,ask_qty_3,ask_orders_3,ask_price_4,ask_qty_4,ask_orders_4,ask_price_5,ask_qty_5,ask_orders_5,open,high,low,close
1745817439,2025-04-28 10:47:19,24383.5,1.01,3543675,12519450,6.67,496725,510075,24200.2,24415,24140,24139.1,24383.5,75,1,24382,600,1,24381.9,675,2,24381.8,675,2,24381.7,150,2,24389.3,600,1,24389.4,675,2,24389.5,600,3,24389.8,450,1,24389.9,150,2
1745817440,2025-04-28 10:47:20,24388.8,1.03,3543675,12519450,6.67,497175,513375,24200.2,24415,24140,24139.1,24383.5,150,2,24381.3,600,1,24381.2,675,2,24381.1,675,2,24381,75,1,24388.8,450,1,24388.9,75,1,24389,600,1,24389.1,75,1,24389.3,600,1
1745817441,2025-04-28 10:47:21,24383.5,1.01,3543675,12519450,6.67,497175,513375,24200.2,24415,24140,24139.1,24383.5,150,2,24381.3,600,1,24381.2,675,2,24381.1,675,2,24381,75,1,24388.8,450,1,24388.9,75,1,24389,600,1,24389.1,75,1,24389.3,600,1
1745817442,2025-04-28 10:47:22,24387.3,1.03,3543900,12519450,6.67,494475,507675,24200.2,24415,24140,24139.1,24383.5,75,1,24380.6,600,1,24380.5,675,2,24380.4,675,2,24380.3,150,2,24387.4,75,1,24387.8,375,2,24387.9,75,1,24388,600,1,24388.1,150,1
1745817443,2025-04-28 10:47:23,24387.3,1.03,3543900,12519450,6.67,499575,493050,24200.2,24415,24140,24139.1,24383.5,75,1,24381.4,600,1,24381.3,675,2,24381.2,675,2,24381.1,150,2,24387.9,75,1,24388.9,675,2,24389,675,3,24389.1,750,3,24389.2,75,1
1745817444,2025-04-28 10:47:24,24383.5,1.01,3543900,12519450,6.67,499575,493050,24200.2,24415,24140,24139.1,24383.5,75,1,24381.4,600,1,24381.3,675,2,24381.2,675,2,24381.1,150,2,24387.9,75,1,24388.9,675,2,24389,675,3,24389.1,750,3,24389.2,75,1
1745817445,2025-04-28 10:47:25,24383.5,1.01,3543975,12519450,6.67,499950,512100,24200.2,24415,24140,24139.1,24381.3,450,2,24381.2,375,2,24381.1,600,1,24381,300,1,24380.1,600,1,24383.5,75,1,24388.1,675,2,24388.2,375,2,24388.3,975,4,24388.4,75,1
1745817446,2025-04-28 10:47:26,24383.5,1.01,3543975,12519450,6.67,499950,512100,24200.2,24415,24140,24139.1,24381.3,450,2,24381.2,375,2,24381.1,600,1,24381,300,1,24380.1,600,1,24383.5,75,1,24388.1,675,2,24388.2,375,2,24388.3,975,4,24388.4,75,1
1745817447,2025-04-28 10:47:27,24383.5,1.01,3543975,12519450,6.67,496800,510525,24200.2,24415,24140,24139.1,24380.4,300,1,24380.1,675,2,24380,825,4,24379.4,600,1,24379.3,375,1,24383.5,75,1,24385,150,1,24387.1,600,1,24387.2,675,2,24387.3,375,2
1745817448,2025-04-28 10:47:28,24387.7,1.03,3543975,12519450,6.67,496800,510525,24200.2,24415,24140,24139.1,24380.4,300,1,24380.1,675,2,24380,825,4,24379.4,600,1,24379.3,375,1,24383.5,75,1,24385,150,1,24387.1,600,1,24387.2,675,2,24387.3,375,2
1745817449,2025-04-28 10:47:29,24387.8,1.03,3544350,12519450,6.67,500025,511650,24200.2,24415,24140,24139.1,24381,600,1,24380.9,675,2,24380.8,300,1,24380.7,600,1,24380.6,300,1,24388.1,300,1,24388.2,750,2,24388.3,750,2,24388.4,225,1,24388.5,300,1
1745817450,2025-04-28 10:47:30,24380.2,1,3544650,12519450,6.67,498675,513975,24200.2,24415,24140,24139.1,24380.1,600,1,24380,300,4,24379.5,600,1,24379.4,375,1,24379.3,600,1,24387.3,600,2,24387.4,600,3,24387.5,675,2,24387.6,75,1,24387.7,300,3
1745817451,2025-04-28 10:47:31,24380.2,1,3544650,12519450,6.67,498675,513975,24200.2,24415,24140,24139.1,24380.1,600,1,24380,300,4,24379.5,600,1,24379.4,375,1,24379.3,600,1,24387.3,600,2,24387.4,600,3,24387.5,675,2,24387.6,75,1,24387.7,300,3
1745817452,2025-04-28 10:47:32,24380.2,1,3544650,12519450,6.67,481200,515400,24200.2,24415,24140,24139.1,24380,300,4,24378.7,600,1,24378.6,75,1,24378.5,600,1,24378.4,75,1,24386.2,900,3,24386.3,1050,4,24386.4,450,2,24386.5,450,3,24386.6,300,1
1745817453,2025-04-28 10:47:33,24380.2,1,3544650,12519450,6.67,481200,515400,24200.2,24415,24140,24139.1,24380,300,4,24378.7,600,1,24378.6,75,1,24378.5,600,1,24378.4,75,1,24386.2,900,3,24386.3,1050,4,24386.4,450,2,24386.5,450,3,24386.6,300,1
1745817454,2025-04-28 10:47:34,24380.2,1,3544650,12519450,6.67,496050,515400,24200.2,24415,24140,24139.1,24380,300,4,24378.6,975,2,24378.4,750,2,24378.3,750,2,24378.2,75,1,24385.9,600,2,24386,900,4,24386.1,675,2,24386.2,375,2,24386.3,375,3
1745817455,2025-04-28 10:47:35,24380.2,1,3544650,12519450,6.67,494250,513900,24200.2,24415,24140,24139.1,24380,300,4,24377.8,600,1,24377.7,675,2,24377.6,675,2,24377.5,75,1,24385.1,600,1,24385.2,300,1,24385.3,525,1,24385.4,450,2,24385.5,75,1
1745817456,2025-04-28 10:47:36,24380,1,3544650,12519450,6.67,494250,513900,24200.2,24415,24140,24139.1,24380,300,4,24377.8,600,1,24377.7,675,2,24377.6,675,2,24377.5,75,1,24385.1,600,1,24385.2,300,1,24385.3,525,1,24385.4,450,2,24385.5,75,1
1745817457,2025-04-28 10:47:37,24383.6,1.01,3544800,12519450,6.67,480600,514725,24200.2,24415,24140,24139.1,24380.2,75,1,24380,225,3,24376.3,75,1,24376.2,1800,2,24376.1,300,3,24383,600,2,24383.1,900,3,24383.2,750,2,24383.8,150,1,24383.9,225,2
1745817458,2025-04-28 10:47:38,24380,1,3545025,12519450,6.67,489750,511800,24200.2,24415,24140,24139.1,24380,75,1,24376.2,1725,1,24376.1,150,1,24375,150,2,24374.8,75,1,24380.9,75,1,24381.5,600,2,24381.6,825,3,24381.7,600,2,24381.9,225,2
1745817459,2025-04-28 10:47:39,24380,1,3545025,12519450,6.67,489750,511800,24200.2,24415,24140,24139.1,24380,75,1,24376.2,1725,1,24376.1,150,1,24375,150,2,24374.8,75,1,24380.9,75,1,24381.5,600,2,24381.6,825,3,24381.7,600,2,24381.9,225,2
1745817460,2025-04-28 10:47:40,24380,1,3545100,12519450,6.67,461325,514350,24200.2,24415,24140,24139.1,24376.2,1725,1,24376.1,150,1,24375,150,2,24374.8,75,1,24374,75,1,24380.2,900,4,24380.3,675,2,24380.4,975,5,24380.6,75,1,24380.7,75,1
1745817461,2025-04-28 10:47:41,24379.6,1,3545100,12519450,6.67,461325,514350,24200.2,24415,24140,24139.1,24376.2,1725,1,24376.1,150,1,24375,150,2,24374.8,75,1,24374,75,1,24380.2,900,4,24380.3,675,2,24380.4,975,5,24380.6,75,1,24380.7,75,1
1745817462,2025-04-28 10:47:42,24379.6,1,3545250,12519450,6.67,492300,476325,24200.2,24415,24140,24139.1,24376.2,1725,1,24375,150,2,24374.8,75,1,24374.1,600,1,24374,75,1,24380.9,375,1,24381,300,1,24381.1,75,1,24381.3,300,2,24381.4,525,1
1745817463,2025-04-28 10:47:43,24380,1,3545325,12519450,6.67,493275,515400,24200.2,24415,24140,24139.1,24376.2,1725,1,24375,150,2,24374.8,75,1,24374.1,600,1,24374,75,1,24381.2,225,1,24381.3,375,1,24381.4,600,1,24381.5,450,2,24381.7,375,1
1745817464,2025-04-28 10:47:44,24380,1,3545325,12519450,6.67,493275,515400,24200.2,24415,24140,24139.1,24376.2,1725,1,24375,150,2,24374.8,75,1,24374.1,600,1,24374,75,1,24381.2,225,1,24381.3,375,1,24381.4,600,1,24381.5,450,2,24381.7,375,1
1745817465,2025-04-28 10:47:45,24380,1,3545325,12519450,6.67,489300,515250,24200.2,24415,24140,24139.1,24376.2,1725,1,24375,150,2,24374.8,75,1,24374,75,1,24372.2,600,1,24379.4,450,2,24379.9,600,2,24380,225,2,24380.4,600,1,24380.5,150,2
